Song:
	samples=10577664
	channels=2
	BPM=127.5258
	points=20660
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
4744                55.07773            4857856             4858879             0.2554207           234.9066            117.4533            
4781                55.5073             4895744             4896767             0.4295692           139.6748            139.6748            
4787                55.57696            4901888             4902911             0.06966019          861.3242            107.6655            
4802                55.75111            4917248             4918271             0.1741486           344.5334            86.13335            
4833                56.11102            4948992             4950015             0.3599091           166.7088            83.35439            
4861                56.4361             4977664             4978687             0.3250809           184.5695            92.28473            
4874                56.58703            4990976             4991999             0.1509285           397.5392            99.38481            
4884                56.70313            5001216             5002239             0.1161003           516.7945            129.1986            
4937                57.31846            5055488             5056511             0.6153297           97.5087             195.0174            
4942                57.37651            5060608             5061631             0.05804825          1033.623            129.2029            
4965                57.64354            5084160             5085183             0.2670288           224.6949            112.3474            
4999                58.03828            5118976             5119999             0.3947411           151.9984            151.9984            
5024                58.32853            5144576             5145599             0.2902489           206.7191            103.3596            
5042                58.53751            5163008             5164031             0.2089806           287.108             143.554             
5047                58.59555            5168128             5169151             0.05804825          1033.623            129.2029            
5070                58.86258            5191680             5192703             0.2670288           224.6949            112.3474            
5106                59.28054            5228544             5229567             0.4179611           143.554             143.554             
5124                59.48952            5246976             5247999             0.2089806           287.108             143.554             
5152                59.8146             5275648             5276671             0.3250771           184.5716            92.28581            
5169                60.01197            5293056             5294079             0.1973724           303.9938            151.9969            
5187                60.22095            5311488             5312511             0.2089767           287.1133            143.5566            
5207                60.45315            5331968             5332991             0.2322006           258.3972            129.1986            
5266                61.13814            5392384             5393407             0.6849899           87.59253            175.1851            
5278                61.27746            5404672             5405695             0.1393204           430.6621            107.6655            
5286                61.37034            5412864             5413887             0.09287643          646.0197            80.75246            
5290                61.41678            5416960             5417983             0.04644012          1291.986            80.74914            
5323                61.79991            5450752             5451775             0.3831291           156.6052            156.6052            
5325                61.82313            5452800             5453823             0.02322006          2583.972            80.74914            
5347                62.07855            5475328             5476351             0.2554207           234.9066            117.4533            
5431                63.05379            5561344             5562367             0.9752388           61.52339            123.0468            
5449                63.26277            5579776             5580799             0.2089806           287.108             143.554             
5511                63.98259            5643264             5644287             0.7198181           83.35439            166.7088            
5594                64.94621            5728256             5729279             0.9636269           62.26477            124.5295            
5614                65.17841            5748736             5749759             0.2322006           258.3972            129.1986            
5673                65.8634             5809152             5810175             0.6849899           87.59253            175.1851            
5755                66.81542            5893120             5894143             0.9520187           63.02397            126.0479            
5776                67.05923            5914624             5915647             0.2438049           246.0984            123.0492            
5795                67.27982            5934080             5935103             0.2205887           271.9995            135.9997            
5837                67.76744            5977088             5978111             0.4876251           123.0453            123.0453            
5916                68.68462            6057984             6059007             0.9171829           65.4177             130.8354            
5936                68.91682            6078464             6079487             0.2322006           258.3972            129.1986            
5939                68.95165            6081536             6082559             0.03482819          1722.743            107.6714            
5998                69.63664            6141952             6142975             0.6849899           87.59253            175.1851            
6079                70.57705            6224896             6225919             0.9404068           63.80218            127.6044            
