Song:
	samples=5710950
	channels=2
	BPM=110.4991
	points=11155
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
3148                36.54821            3223552             3224575             0.02322006          2583.972            80.74914            
3161                36.69914            3236864             3237887             0.1509285           397.5392            99.38481            
3170                36.80363            3246080             3247103             0.1044884           574.2266            143.5566            
3180                36.91973            3256320             3257343             0.1161003           516.7945            129.1986            
3198                37.12871            3274752             3275775             0.2089806           287.108             143.554             
3204                37.19837            3280896             3281919             0.06966019          861.3242            107.6655            
3214                37.31447            3291136             3292159             0.1161003           516.7945            129.1986            
3224                37.43057            3301376             3302399             0.1161003           516.7945            129.1986            
3234                37.54667            3311616             3312639             0.1160965           516.8115            129.2029            
3243                37.65116            3320832             3321855             0.1044922           574.2056            143.5514            
3247                37.6976             3324928             3325951             0.04644012          1291.986            80.74914            
3267                37.92979            3345408             3346431             0.2321968           258.4015            129.2007            
3284                38.12717            3362816             3363839             0.1973724           303.9938            151.9969            
3289                38.18521            3367936             3368959             0.05804825          1033.623            129.2029            
3307                38.3942             3386368             3387391             0.2089806           287.108             143.554             
3310                38.42902            3389440             3390463             0.03482819          1722.743            107.6714            
3318                38.5219             3397632             3398655             0.09288025          645.9931            80.74914            
3326                38.61478            3405824             3406847             0.09288025          645.9931            80.74914            
3335                38.71927            3415040             3416063             0.1044884           574.2266            143.5566            
3352                38.91665            3432448             3433471             0.1973724           303.9938            151.9969            
3355                38.95147            3435520             3436543             0.03482819          1722.743            107.6714            
3361                39.02113            3441664             3442687             0.06966019          861.3242            107.6655            
3370                39.12562            3450880             3451903             0.1044884           574.2266            143.5566            
3385                39.29977            3466240             3467263             0.1741524           344.5259            86.13147            
3396                39.42748            3477504             3478527             0.1277084           469.8202            117.455             
3399                39.46231            3480576             3481599             0.034832            1722.554            107.6596            
3406                39.54358            3487744             3488767             0.08126831          738.2952            92.2869             
3417                39.67129            3499008             3500031             0.1277084           469.8202            117.455             
3423                39.74095            3505152             3506175             0.06966019          861.3242            107.6655            
3427                39.78739            3509248             3510271             0.04644012          1291.986            80.74914            
3440                39.93832            3522560             3523583             0.1509285           397.5392            99.38481            
3448                40.0312             3530752             3531775             0.09288025          645.9931            80.74914            
3470                40.28662            3553280             3554303             0.2554207           234.9066            117.4533            
3480                40.40272            3563520             3564543             0.1161003           516.7945            129.1986            
3491                40.53043            3574784             3575807             0.1277084           469.8202            117.455             
3502                40.65814            3586048             3587071             0.1277122           469.8062            117.4515            
3512                40.77424            3596288             3597311             0.1160965           516.8115            129.2029            
3535                41.04127            3619840             3620863             0.2670326           224.6917            112.3458            
3557                41.29669            3642368             3643391             0.2554169           234.9101            117.455             
3564                41.37796            3649536             3650559             0.08127213          738.2605            92.28256            
3580                41.56372            3665920             3666943             0.1857605           322.9966            80.74914            
3589                41.66821            3675136             3676159             0.1044884           574.2266            143.5566            
3599                41.78431            3685376             3686399             0.1161003           516.7945            129.1986            
3632                42.16744            3719168             3720191             0.3831291           156.6052            156.6052            
3643                42.29515            3730432             3731455             0.1277084           469.8202            117.455             
3652                42.39964            3739648             3740671             0.1044884           574.2266            143.5566            
3665                42.55057            3752960             3753983             0.1509323           397.5292            99.3823             
3675                42.66667            3763200             3764223             0.1161003           516.7945            129.1986            
3686                42.79438            3774464             3775487             0.1277084           469.8202            117.455             
3696                42.91048            3784704             3785727             0.1161003           516.7945            129.1986            
3707                43.03819            3795968             3796991             0.1277084           469.8202            117.455             
3724                43.23555            3813376             3814399             0.1973686           303.9997            151.9998            
3739                43.40971            3828736             3829759             0.1741524           344.5259            86.13147            
3749                43.52581            3838976             3839999             0.1161003           516.7945            129.1986            
3762                43.67673            3852288             3853311             0.1509285           397.5392            99.38481            
3773                43.80444            3863552             3864575             0.1277084           469.8202            117.455             
3782                43.90894            3872768             3873791             0.1044922           574.2056            143.5514            
3795                44.05986            3886080             3887103             0.1509285           397.5392            99.38481            
3814                44.28045            3905536             3906559             0.2205887           271.9995            135.9997            
3817                44.31528            3908608             3909631             0.034832            1722.554            107.6596            
3823                44.38494            3914752             3915775             0.06966019          861.3242            107.6655            
3833                44.50104            3924992             3926015             0.1160965           516.8115            129.2029            
3837                44.54748            3929088             3930111             0.04644012          1291.986            80.74914            
3850                44.69841            3942400             3943423             0.1509323           397.5292            99.3823             
3858                44.79129            3950592             3951615             0.09288025          645.9931            80.74914            
3868                44.90739            3960832             3961855             0.1160965           516.8115            129.2029            
3879                45.0351             3972096             3973119             0.1277122           469.8062            117.4515            
3892                45.18603            3985408             3986431             0.1509285           397.5392            99.38481            
3901                45.29052            3994624             3995647             0.1044884           574.2266            143.5566            
3909                45.3834             4002816             4003839             0.09288025          645.9931            80.74914            
3923                45.54594            4017152             4018175             0.1625404           369.1389            92.28473            
3933                45.66204            4027392             4028415             0.1161003           516.7945            129.1986            
3941                45.75492            4035584             4036607             0.09288025          645.9931            80.74914            
3955                45.91746            4049920             4050943             0.1625404           369.1389            92.28473            
3965                46.03356            4060160             4061183             0.1161003           516.7945            129.1986            
3974                46.13805            4069376             4070399             0.1044884           574.2266            143.5566            
4014                46.60245            4110336             4111359             0.4643974           129.1997            129.1997            
4141                48.07692            4240384             4241407             1.474468            40.69264            162.7706            
4158                48.27428            4257792             4258815             0.1973686           303.9997            151.9998            
4162                48.32072            4261888             4262911             0.04644012          1291.986            80.74914            
4177                48.49488            4277248             4278271             0.1741524           344.5259            86.13147            
4197                48.72707            4297728             4298751             0.2321968           258.4015            129.2007            
4210                48.87801            4311040             4312063             0.1509323           397.5292            99.3823             
4215                48.93605            4316160             4317183             0.05804825          1033.623            129.2029            
4231                49.12181            4332544             4333567             0.1857605           322.9966            80.74914            
4257                49.42367            4359168             4360191             0.301857            198.7696            99.38481            
4284                49.73714            4386816             4387839             0.3134727           191.4042            95.7021             
4305                49.98095            4408320             4409343             0.2438087           246.0945            123.0473            
4326                50.22476            4429824             4430847             0.2438087           246.0945            123.0473            
4351                50.51501            4455424             4456447             0.2902489           206.7191            103.3596            
4372                50.75882            4476928             4477951             0.2438087           246.0945            123.0473            
4388                50.94458            4493312             4494335             0.1857605           322.9966            80.74914            
4414                51.24644            4519936             4520959             0.3018608           198.7671            99.38355            
4440                51.5483             4546560             4547583             0.301857            198.7696            99.38481            
4458                51.75728            4564992             4566015             0.2089806           287.108             143.554             
4481                52.02431            4588544             4589567             0.2670288           224.6949            112.3474            
4487                52.09397            4594688             4595711             0.06966019          861.3242            107.6655            
4493                52.16363            4600832             4601855             0.06966019          861.3242            107.6655            
4501                52.25651            4609024             4610047             0.09288025          645.9931            80.74914            
4516                52.43066            4624384             4625407             0.1741486           344.5334            86.13335            
4521                52.48871            4629504             4630527             0.05805206          1033.555            129.1944            
4524                52.52354            4632576             4633599             0.03482819          1722.743            107.6714            
4535                52.65125            4643840             4644863             0.1277122           469.8062            117.4515            
4538                52.68608            4646912             4647935             0.03482819          1722.743            107.6714            
4551                52.83701            4660224             4661247             0.1509285           397.5392            99.38481            
4557                52.90667            4666368             4667391             0.06966019          861.3242            107.6655            
4566                53.01116            4675584             4676607             0.1044922           574.2056            143.5514            
4576                53.12725            4685824             4686847             0.1160965           516.8115            129.2029            
4589                53.27819            4699136             4700159             0.1509323           397.5292            99.3823             
4597                53.37107            4707328             4708351             0.09288025          645.9931            80.74914            
4605                53.46395            4715520             4716543             0.09288025          645.9931            80.74914            
4618                53.61488            4728832             4729855             0.1509285           397.5392            99.38481            
4626                53.70776            4737024             4738047             0.09288025          645.9931            80.74914            
4637                53.83546            4748288             4749311             0.1277084           469.8202            117.455             
4645                53.92834            4756480             4757503             0.09288025          645.9931            80.74914            
4653                54.02122            4764672             4765695             0.09288025          645.9931            80.74914            
4660                54.10249            4771840             4772863             0.08126831          738.2952            92.2869             
4674                54.26503            4786176             4787199             0.1625404           369.1389            92.28473            
4681                54.3463             4793344             4794367             0.08126831          738.2952            92.2869             
4688                54.42757            4800512             4801535             0.08127213          738.2605            92.28256            
4695                54.50884            4807680             4808703             0.08126831          738.2952            92.2869             
4721                54.8107             4834304             4835327             0.3018608           198.7671            99.38355            
4733                54.95002            4846592             4847615             0.1393204           430.6621            107.6655            
4751                55.159              4865024             4866047             0.2089767           287.1133            143.5566            
4759                55.25188            4873216             4874239             0.09288025          645.9931            80.74914            
4773                55.41442            4887552             4888575             0.1625404           369.1389            92.28473            
4784                55.54213            4898816             4899839             0.1277122           469.8062            117.4515            
4787                55.57696            4901888             4902911             0.03482819          1722.743            107.6714            
4805                55.78594            4920320             4921343             0.2089806           287.108             143.554             
4813                55.87882            4928512             4929535             0.09288025          645.9931            80.74914            
4816                55.91365            4931584             4932607             0.03482819          1722.743            107.6714            
4827                56.04136            4942848             4943871             0.1277084           469.8202            117.455             
4835                56.13424            4951040             4952063             0.09288025          645.9931            80.74914            
4852                56.33161            4968448             4969471             0.1973724           303.9938            151.9969            
4868                56.51737            4984832             4985855             0.1857567           323.0032            80.75079            
4883                56.69152            5000192             5001215             0.1741524           344.5259            86.13147            
4898                56.86567            5015552             5016575             0.1741486           344.5334            86.13335            
4903                56.92372            5020672             5021695             0.05804825          1033.623            129.2029            
5064                58.79293            5185536             5186559             1.869209            32.09913            128.3965            
5073                58.89742            5194752             5195775             0.1044884           574.2266            143.5566            
5117                59.40825            5239808             5240831             0.5108376           117.4542            117.4542            
5150                59.79138            5273600             5274623             0.3831291           156.6052            156.6052            
5172                60.0468             5296128             5297151             0.2554207           234.9066            117.4533            
5177                60.10485            5301248             5302271             0.05804825          1033.623            129.2029            
5190                60.25578            5314560             5315583             0.1509323           397.5292            99.3823             
5194                60.30222            5318656             5319679             0.04644012          1291.986            80.74914            
5207                60.45315            5331968             5332991             0.1509285           397.5392            99.38481            
5217                60.56925            5342208             5343231             0.1161003           516.7945            129.1986            
5230                60.72018            5355520             5356543             0.1509285           397.5392            99.38481            
5233                60.75501            5358592             5359615             0.034832            1722.554            107.6596            
5235                60.77823            5360640             5361663             0.02322006          2583.972            80.74914            
5249                60.94077            5374976             5375999             0.1625366           369.1476            92.2869             
5254                60.99882            5380096             5381119             0.05805206          1033.555            129.1944            
5265                61.12653            5391360             5392383             0.1277084           469.8202            117.455             
5271                61.19619            5397504             5398527             0.06966019          861.3242            107.6655            
5273                61.21941            5399552             5400575             0.02322006          2583.972            80.74914            
5284                61.34712            5410816             5411839             0.1277084           469.8202            117.455             
5305                61.59093            5432320             5433343             0.2438126           246.0907            123.0453            
5313                61.68381            5440512             5441535             0.09288025          645.9931            80.74914            
5326                61.83474            5453824             5454847             0.1509285           397.5392            99.38481            
5334                61.92762            5462016             5463039             0.09288025          645.9931            80.74914            
5344                62.04372            5472256             5473279             0.1161003           516.7945            129.1986            
5350                62.11338            5478400             5479423             0.06966019          861.3242            107.6655            
5364                62.27592            5492736             5493759             0.1625366           369.1476            92.2869             
5371                62.35719            5499904             5500927             0.08127213          738.2605            92.28256            
5378                62.43846            5507072             5508095             0.08126831          738.2952            92.2869             
5385                62.51973            5514240             5515263             0.08127213          738.2605            92.28256            
5407                62.77515            5536768             5537791             0.2554169           234.9101            117.455             
5409                62.79837            5538816             5539839             0.02322006          2583.972            80.74914            
5429                63.03057            5559296             5560319             0.2322006           258.3972            129.1986            
5516                64.04063            5648384             5649407             1.010067            59.402              118.804             
5534                64.24961            5666816             5667839             0.2089767           287.1133            143.5566            
5547                64.40054            5680128             5681151             0.1509323           397.5292            99.3823             
5550                64.43537            5683200             5684223             0.03482819          1722.743            107.6714            
5560                64.55148            5693440             5694463             0.1161041           516.7775            129.1944            
5570                64.66757            5703680             5704703             0.1160965           516.8115            129.2029            
5588                64.87656            5722112             5723135             0.2089844           287.1028            143.5514            
5592                64.923              5726208             5727231             0.04644012          1291.986            80.74914            
5603                65.0507             5737472             5738495             0.1277084           469.8202            117.455             
5624                65.29451            5758976             5759999             0.2438049           246.0984            123.0492            
5632                65.38739            5767168             5768191             0.09288025          645.9931            80.74914            
5646                65.54993            5781504             5782527             0.1625443           369.1302            92.28256            
5656                65.66603            5791744             5792767             0.1160965           516.8115            129.2029            
5664                65.75891            5799936             5800959             0.09288025          645.9931            80.74914            
5677                65.90984            5813248             5814271             0.1509323           397.5292            99.3823             
5687                66.02594            5823488             5824511             0.1160965           516.8115            129.2029            
5697                66.14204            5833728             5834751             0.1161041           516.7775            129.1944            
5700                66.17687            5836800             5837823             0.03482819          1722.743            107.6714            
5709                66.28136            5846016             5847039             0.1044846           574.2476            143.5619            
5718                66.38585            5855232             5856255             0.1044922           574.2056            143.5514            
5730                66.52517            5867520             5868543             0.1393204           430.6621            107.6655            
5744                66.68771            5881856             5882879             0.1625366           369.1476            92.2869             
5773                67.0244             5911552             5912575             0.3366928           178.204             89.10199            
5784                67.15211            5922816             5923839             0.1277084           469.8202            117.455             
5786                67.17533            5924864             5925887             0.02322388          2583.548            80.73587            
5807                67.41914            5946368             5947391             0.2438049           246.0984            123.0492            
5816                67.52363            5955584             5956607             0.1044922           574.2056            143.5514            
5829                67.67456            5968896             5969919             0.1509323           397.5292            99.3823             
5839                67.79066            5979136             5980159             0.1160965           516.8115            129.2029            
5847                67.88354            5987328             5988351             0.09288025          645.9931            80.74914            
5856                67.98803            5996544             5997567             0.1044922           574.2056            143.5514            
5866                68.10413            6006784             6007807             0.1160965           516.8115            129.2029            
5874                68.19701            6014976             6015999             0.09288025          645.9931            80.74914            
5883                68.3015             6024192             6025215             0.1044922           574.2056            143.5514            
5891                68.39438            6032384             6033407             0.09288025          645.9931            80.74914            
5893                68.41759            6034432             6035455             0.02321625          2584.397            80.76241            
5900                68.49886            6041600             6042623             0.08126831          738.2952            92.2869             
5918                68.70785            6060032             6061055             0.2089844           287.1028            143.5514            
5935                68.90521            6077440             6078463             0.1973648           304.0056            152.0028            
5938                68.94005            6080512             6081535             0.03483582          1722.365            107.6478            
5946                69.03293            6088704             6089727             0.09288025          645.9931            80.74914            
5952                69.10258            6094848             6095871             0.06965637          861.3713            107.6714            
5981                69.43928            6124544             6125567             0.3366928           178.204             89.10199            
5990                69.54376            6133760             6134783             0.1044846           574.2476            143.5619            
5997                69.62503            6140928             6141951             0.08126831          738.2952            92.2869             
6011                69.78757            6155264             6156287             0.1625443           369.1302            92.28256            
6023                69.9269             6167552             6168575             0.1393204           430.6621            107.6655            
6032                70.03138            6176768             6177791             0.1044846           574.2476            143.5619            
6055                70.29842            6200320             6201343             0.2670364           224.6884            112.3442            
6063                70.39129            6208512             6209535             0.09287262          646.0461            80.75577            
6065                70.41451            6210560             6211583             0.02322388          2583.548            80.73587            
6076                70.54222            6221824             6222847             0.1277084           469.8202            117.455             
6086                70.65833            6232064             6233087             0.1161041           516.7775            129.1944            
6097                70.78603            6243328             6244351             0.1277084           469.8202            117.455             
6104                70.8673             6250496             6251519             0.08126831          738.2952            92.2869             
6109                70.92535            6255616             6256639             0.05805206          1033.555            129.1944            
6124                71.0995             6270976             6271999             0.1741486           344.5334            86.13335            
